q,M,beta,DUP,target_recovery,c_star,best_cost,mean_Q_over_M_at_c_star,se_Q_over_M_at_c_star,Rs_theory_at_c_star,Rr_theory_at_c_star
1.0,1000,2.0,10,0.6,1.1500000000000004,6.292407620604271,0.6831333333333334,0.0019462509397060012,0.3416816153104735,0.2971144480960638
1.0,10000,2.0,10,0.6,1.1500000000000004,6.292407620604271,0.6830466666666666,0.0006568600567088979,0.3416816153104735,0.2971144480960638
100.0,1000,2.0,10,0.6,4.66,211.32045716244048,0.9893666666666667,0.000651229312038577,0.49526676879914483,0.10628042248908687
100.0,10000,2.0,10,0.6,4.66,211.32045716244048,0.9904933333333334,0.0001602392846729237,0.49526676879914483,0.10628042248908687
500.0,1000,2.0,10,0.6,6.2299999999999995,1014.4579260865924,0.9977666666666667,0.00024298589587436927,0.49901527405168017,0.08009875987988446
500.0,10000,2.0,10,0.6,6.2299999999999995,1014.4579260865924,0.9981333333333333,9.67676840392974e-05,0.49901527405168017,0.08009875987988446
1000.0,1000,2.0,10,0.6,6.92,2015.83129851173,0.9985999999999999,0.0002011461411882977,0.49950608502973437,0.07218296026441248
1000.0,10000,2.0,10,0.6,6.92,2015.83129851173,0.9989733333333332,6.502578327418327e-05,0.49950608502973437,0.07218296026441248
2500.0,1000,2.0,10,0.6,7.83,5017.6551475379665,0.9995999999999999,9.097176522946849e-05,0.49980118725985523,0.0638315692541322
2500.0,10000,2.0,10,0.6,7.83,5017.6551475379665,0.9995900000000001,3.9348136703905266e-05,0.49980118725985523,0.0638315692541322
5000.0,1000,2.0,10,0.6,8.520000000000001,10019.038191219559,0.9998666666666668,6.312427686319997e-05,0.4999002802873179,0.05867374181776031
5000.0,10000,2.0,10,0.6,8.520000000000001,10019.038191219559,0.99982,2.2692345157244517e-05,0.4999002802873179,0.05867374181776031
10000.0,1000,2.0,10,0.6,9.21,20020.42272382745,0.9999,5.57086014531156e-05,0.4999499829785045,0.05428338577399614
10000.0,10000,2.0,10,0.6,9.21,20020.42272382745,0.99988,1.881549862495462e-05,0.4999499829785045,0.05428338577399614
25000.0,1000,2.0,10,0.6,10.13,50022.25416071702,0.9999666666666668,3.3333333333333355e-05,0.49998006726455574,0.049356373866195034
25000.0,10000,2.0,10,0.6,10.13,50022.25416071702,0.9999600000000001,1.231763524102744e-05,0.49998006726455574,0.049356373866195034
50000.0,1000,2.0,10,0.6,10.820000000000002,100023.64002931374,1.0,0.0,0.49999000221691015,0.04620979687771812
50000.0,10000,2.0,10,0.6,10.820000000000002,100023.64002931374,0.9999833333333333,8.419098886081825e-06,0.49999000221691015,0.04620979687771812
75000.0,1000,2.0,10,0.6,11.23,150024.4508338386,1.0,0.0,0.4999933649687516,0.04452300667575704
75000.0,10000,2.0,10,0.6,11.23,150024.4508338386,0.99999,5.570860145310943e-06,0.4999933649687516,0.04452300667575704
100000.0,1000,2.0,10,0.6,11.510000000000002,200025.02611049096,1.0,0.0,0.4999949853512584,0.04344005085588691
100000.0,10000,2.0,10,0.6,11.510000000000002,200025.02611049096,0.9999966666666666,3.3333333333329674e-06,0.4999949853512584,0.04344005085588691
